Y	VEL
0.496	-0.20105
0.497	-0.20119
0.498	-0.20132
0.499	-0.20145
0.5	-0.20158
0.501	-0.20171
0.502	-0.20184
0.503	-0.20197
0.504	-0.2021
0.505	-0.20224
0.506	-0.20237
0.507	-0.2025
0.508	-0.20263
0.509	-0.20276
0.51	-0.20289
0.511	-0.20302
0.512	-0.20315
0.513	-0.20329
0.514	-0.20342
0.515	-0.20355
0.516	-0.20368
0.517	-0.20381
0.518	-0.20394
0.519	-0.20407
0.52	-0.2042
0.521	-0.20434
0.522	-0.20447
0.523	-0.2046
0.524	-0.20473
0.525	-0.20486
0.526	-0.20498
0.527	-0.20507
0.528	-0.20516
0.529	-0.20516
0.53	-0.2051
0.531	-0.20503
0.532	-0.20496
0.533	-0.20487
0.534	-0.20478
0.535	-0.20469
0.536	-0.2046
0.537	-0.20451
0.538	-0.20442
0.539	-0.20433
0.54	-0.20424
0.541	-0.20415
0.542	-0.20406
0.543	-0.20397
0.544	-0.20388
0.545	-0.20379
0.546	-0.2037
0.547	-0.20361
0.548	-0.20352
0.549	-0.20343
0.55	-0.20334
0.551	-0.20325
0.552	-0.20316
0.553	-0.20307
0.554	-0.20298
0.555	-0.20289
0.556	-0.2028
0.557	-0.20271
0.558	-0.20262
0.559	-0.20253
0.56	-0.20244
0.561	-0.20235
0.562	-0.20226
0.563	-0.20217
0.564	-0.20208
0.565	-0.20199
0.566	-0.2019
0.567	-0.20181
0.568	-0.20172
0.569	-0.20164
0.57	-0.20155
0.571	-0.20146
0.572	-0.20137
0.573	-0.20123
0.574	-0.20091
0.575	-0.2006
0.576	-0.20028
0.577	-0.19996
0.578	-0.19964
0.579	-0.19933
0.58	-0.19901
0.581	-0.19869
0.582	-0.19837
0.583	-0.19806
0.584	-0.19774
0.585	-0.19742
0.586	-0.19711
0.587	-0.19679
0.588	-0.19647
0.589	-0.19615
0.59	-0.19584
0.591	-0.19552
0.592	-0.1952
0.593	-0.19488
0.594	-0.19457
0.595	-0.19425
0.596	-0.19393
0.597	-0.19361
0.598	-0.1933
0.599	-0.19298
0.6	-0.19266
0.601	-0.19235
0.602	-0.19203
0.603	-0.19171
0.604	-0.19139
0.605	-0.19108
0.606	-0.19076
0.607	-0.19044
0.608	-0.19012
0.609	-0.18981
0.61	-0.18948
0.611	-0.18914
0.612	-0.18881
0.613	-0.18847
0.614	-0.18814
0.615	-0.18764
0.616	-0.18699
0.617	-0.18634
0.618	-0.18568
0.619	-0.18503
0.62	-0.18438
0.621	-0.18372
0.622	-0.18307
0.623	-0.18243
0.624	-0.18178
0.625	-0.18113
0.626	-0.18049
0.627	-0.17984
0.628	-0.17919
0.629	-0.17855
0.63	-0.1779
0.631	-0.17725
0.632	-0.17661
0.633	-0.17596
0.634	-0.17531
0.635	-0.17467
0.636	-0.17402
0.637	-0.17337
0.638	-0.17273
0.639	-0.17208
0.64	-0.17143
0.641	-0.17079
0.642	-0.17014
0.643	-0.16949
0.644	-0.16885
0.645	-0.1682
0.646	-0.16755
0.647	-0.16691
0.648	-0.16626
0.649	-0.16561
0.65	-0.16496
0.651	-0.16432
0.652	-0.16367
0.653	-0.16302
0.654	-0.16238
0.655	-0.16156
0.656	-0.16056
0.657	-0.15956
0.658	-0.15856
0.659	-0.15756
0.66	-0.15656
0.661	-0.15556
0.662	-0.15456
0.663	-0.15356
0.664	-0.15257
0.665	-0.15157
0.666	-0.15057
0.667	-0.14957
0.668	-0.14857
0.669	-0.14757
0.67	-0.14657
0.671	-0.14557
0.672	-0.14457
0.673	-0.14357
0.674	-0.14257
0.675	-0.14154
0.676	-0.14044
0.677	-0.13935
0.678	-0.13825
0.679	-0.13716
